Fecha descarga;Tratamiento;Fecha de nacimiento;Ciudad;País;Código postal
3-1-20 16:40;Señor;23/05/1994;A CAÑIZA;España;36880
3-1-20 16:40;Señor;21/11/1998;A CORUÑA;España;15011
3-1-20 16:40;Señora;28/03/1996;A CORUÑA;España;15174
3-1-20 16:40;Señora;15/03/1994;A CORUÑA;España;15004
3-1-20 16:40;Señora;30/04/1996;A CORUÑA;España;15004
3-1-20 16:40;Señor;15/12/1997;A CORUÑA;España;15110
3-1-20 16:40;Señora;12/12/1999;A CORUÑA;España;15660
3-1-20 16:40;Señor;19/09/1996;A CORUÑA;España;15006
3-1-20 16:40;Señora;21/11/1997;A CORUÑA;España;15009
3-1-20 16:40;Señor;14/10/1999;A POBRA DO CARAMIÑAL;España;15940
3-1-20 16:40;Señor;28/09/1996;ÁGREDA;España;42100
3-1-20 16:40;Señor;04/01/1994;AGUADULCE;España;4720
3-1-20 16:40;Señora;27/10/1996;AGUADULCE;España;4720
3-1-20 16:40;Señora;03/05/1997;AGUILAR DE CAMPOO;España;34800
3-1-20 16:40;Señora;09/10/2000;ÁGUILAS;España;30880
3-1-20 16:40;Señor;24/11/1997;AJALVIR;España;28864
3-1-20 16:40;Señora;28/02/1997;AJALVIR;España;28864
3-1-20 16:40;Señora;26/01/1995;ALAGÓN DEL RÍO;España;10690
3-1-20 16:40;Señora;27/08/1999;ALAIOR;España;7730
3-1-20 16:40;Señor;22/06/1998;ALAMEDA DE LA SAGRA;España;45240
3-1-20 16:40;Señor;06/04/1998;ALAMEDA DE LA SAGRA;España;45240
3-1-20 16:40;Señora;30/11/1999;ALAMEDA DE LA SAGRA;España;45240
3-1-20 16:40;Señora;15/11/1993;ALAQUAS;España;46970
3-1-20 16:40;Señor;22/09/1999;ALBACETE;España;2005
3-1-20 16:40;Señor;25/10/1995;ALBACETE;España;2005
3-1-20 16:40;Señor;23/09/1993;ALBACETE;España;2002
3-1-20 16:40;Señora;19/08/1999;ALBACETE;España;2004
3-1-20 16:40;Señora;08/04/1994;ALBACETE;España;2001
3-1-20 16:40;Señora;19/07/1997;ALBACETE;España;2004
3-1-20 16:40;Señor;14/01/1997;ALBACETE;España;2003
3-1-20 16:40;Señor;09/11/1994;ALBACETE;España;2002
3-1-20 16:40;Señora;23/03/1994;ALBACETE;España;2003
3-1-20 16:40;Señora;27/11/2000;ALBACETE;España;2005
3-1-20 16:40;Señora;12/11/1998;ALBACETE;España;2006
