Fecha descarga;Fecha de nacimiento;Ciudad;País;Código postal
02/07/2021;28/03/1996;A CORUÑA;España;15174
02/07/2021;21/11/1998;A CORUÑA;España;15011
02/07/2021;15/12/1997;A CORUÑA;España;15110
02/07/2021;12/12/1999;A CORUÑA;España;15660
02/07/2021;19/09/1996;A CORUÑA;España;15006
02/07/2021;21/11/1997;A CORUÑA;España;15009
02/07/2021;30/01/1998;A CORUÑA;España;15007
02/07/2021;28/08/1995;A CORUÑA;España;15704
02/07/2021;07/06/1995;A CORUÑA;España;15173
02/07/2021;30/04/1996;A CORUÑA;España;15004
02/07/2021;14/10/1999;A POBRA DO CARAMIÑAL;España;15940
02/07/2021;17/08/1996;ABLITAS;España;31523
02/07/2021;12/05/1998;AGRAMÓN;España;2490
02/07/2021;28/09/1996;ÁGREDA;España;42100
02/07/2021;27/10/1996;AGUADULCE;España;4720
02/07/2021;22/06/1996;AGUADULCE;España;4720
02/07/2021;20/01/1997;AGUADULCE;España;4720
02/07/2021;24/09/1999;AGÜERO;España;39719
02/07/2021;03/05/1997;AGUILAR DE CAMPOO;España;34800
02/07/2021;23/03/1997;AGUILAR DE LA FRONTERA;España;14920
02/07/2021;17/04/1997;AGUILAR DE LA FRONTERA;España;14920
02/07/2021;09/10/2000;ÁGUILAS;España;30880
02/07/2021;26/07/1995;ALICANTE;España;3006
02/07/2021;24/11/1997;AJALVIR;España;28864
02/07/2021;28/02/1997;AJALVIR;España;28864
02/07/2021;07/03/1995;AJALVIR;España;28864
02/07/2021;18/10/1998;AJALVIR;España;28864
02/07/2021;21/08/1998;AJALVIR;España;28864
02/07/2021;26/01/1995;ALAGÓN DEL RÍO;España;10690
02/07/2021;27/08/1999;ALAIOR;España;7730
02/07/2021;27/06/1997;ALALPARDO;España;28130
02/07/2021;31/01/2001;ALALPARDO;España;28130
02/07/2021;22/06/1998;ALAMEDA DE LA SAGRA;España;45240
02/07/2021;06/04/1998;ALAMEDA DE LA SAGRA;España;45240
02/07/2021;30/11/1999;ALAMEDA DE LA SAGRA;España;45240
02/07/2021;22/09/1999;ALBACETE;España;2005
02/07/2021;25/10/1995;ALBACETE;España;2005
02/07/2021;19/07/1997;ALBACETE;España;2004
02/07/2021;14/01/1997;ALBACETE;España;2003
02/07/2021;09/11/1994;ALBACETE;España;2002
02/07/2021;27/11/2000;ALBACETE;España;2005
02/07/2021;12/11/1998;ALBACETE;España;2006
02/07/2021;05/03/1995;ALBACETE;España;2002
02/07/2021;13/01/1999;ALBACETE;España;2002
02/07/2021;20/05/1998;ALBACETE;España;2006
02/07/2021;17/04/1996;ALCALÁ DE HENARES;España;28806
02/07/2021;28/02/1998;ALCALÁ DE HENARES;España;28806
02/07/2021;08/04/1999;ALCALÁ DE HENARES;España;28806
02/07/2021;12/01/1998;ALCALÁ DE HENARES;España;28801
02/07/2021;24/05/1999;ALCALÁ DE HENARES;España;28803
02/07/2021;18/03/1997;ALCALÁ DE HENARES;España;28802
02/07/2021;13/01/2002;ALCALÁ DE HENARES;España;28804
02/07/2021;09/10/1995;ALCALÁ DE HENARES;España;28805
02/07/2021;26/08/1994;ALCALÁ DE HENARES;España;28806
02/07/2021;09/06/1997;ALCALÁ DE HENARES;España;28805
02/07/2021;24/04/1999;ALCALÁ DE HENARES;España;28804
