Fecha descarga;Fecha nacimiento;Ciudad;Código Postal
7-7-22 14:01;28/03/1996;A CORUÑA;15174
7-7-22 14:01;28/08/1995;A CORUÑA;15704
7-7-22 14:01;19/09/1996;A CORUÑA;15006
7-7-22 14:01;21/11/1997;A CORUÑA;15009
7-7-22 14:01;15/12/1997;A CORUÑA;15110
7-7-22 14:01;30/01/1998;A CORUÑA;15007
7-7-22 14:01;21/11/1998;A CORUÑA;15011
7-7-22 14:01;12/12/1999;A CORUÑA;15660
7-7-22 14:01;17/06/2001;A CORUÑA;15179
7-7-22 14:01;30/04/1996;A CORUÑA;15004
12-1-23 12:52;28/03/1996;A CORUÑA;15174
12-1-23 12:52;19/09/1996;A CORUÑA;15006
12-1-23 12:52;21/11/1998;A CORUÑA;15011
12-1-23 12:52;21/11/1997;A CORUÑA;15009
12-1-23 12:52;12/12/1999;A CORUÑA;15660
12-1-23 12:52;15/12/1997;A CORUÑA;15110
12-1-23 12:52;30/01/1998;A CORUÑA;15007
12-1-23 12:52;17/06/2001;A CORUÑA;15179
12-1-23 12:52;30/04/1996;A CORUÑA;15004
7-7-22 14:01;14/10/1999;A POBRA DO CARAMIÑAL;15940
12-1-23 12:52;14/10/1999;A POBRA DO CARAMIÑAL;15940
7-7-22 14:01;17/08/1996;ABLITAS;31523
7-7-22 14:01;12/05/1998;AGRAMÓN;2490
12-1-23 12:52;28/09/1996;AGREDA;42100
7-7-22 14:01;28/09/1996;ÁGREDA;42100
7-7-22 14:01;22/06/1996;AGUADULCE;4720
7-7-22 14:01;27/10/1996;AGUADULCE;4720
7-7-22 14:01;20/01/1997;AGUADULCE;4720
12-1-23 12:52;27/10/1996;AGUADULCE;4720
12-1-23 12:52;22/06/1996;AGUADULCE;4720
7-7-22 14:01;24/09/1999;AGÜERO;39719
12-1-23 12:52;24/09/1999;AGÜERO, MARINA DE CUDEYO;39719
7-7-22 14:01;03/05/1997;AGUILAR DE CAMPOO;34800
12-1-23 12:52;03/05/1997;AGUILAR DE CAMPOO;34800
7-7-22 14:01;23/03/1997;AGUILAR DE LA FRONTERA;14920
7-7-22 14:01;17/04/1997;AGUILAR DE LA FRONTERA;14920
12-1-23 12:52;17/04/1997;AGUILAR DE LA FRONTERA;14920
12-1-23 12:52;23/03/1997;AGUILAR DE LA FRONTERA;14920
7-7-22 14:01;09/10/2000;ÁGUILAS;30880
12-1-23 12:52;09/10/2000;ÁGUILAS;30880
7-7-22 14:01;28/02/1997;AJALVIR;28864
7-7-22 14:01;21/08/1998;AJALVIR;28864
7-7-22 14:01;15/04/2004;AJALVIR;28864
12-1-23 12:52;21/08/1998;AJALVIR;28864
12-1-23 12:52;24/11/1997;AJALVIR;28864
12-1-23 12:52;28/02/1997;AJALVIR;28864
12-1-23 12:52;15/04/2004;AJALVIR;28864
7-7-22 14:01;24/11/1997;AJALVIR ;28864
7-7-22 14:01;27/08/1999;ALAIOR;7730
12-1-23 12:52;27/08/1999;ALAIOR;7730
7-7-22 14:01;27/06/1997;ALALPARDO;28130
7-7-22 14:01;31/01/2001;ALALPARDO;28130
12-1-23 12:52;27/06/1997;ALALPARDO;28130
12-1-23 12:52;31/01/2001;ALALPARDO;28130
7-7-22 14:01;06/04/1998;ALAMEDA DE LA SAGRA;45240
7-7-22 14:01;22/06/1998;ALAMEDA DE LA SAGRA;45240
7-7-22 14:01;30/11/1999;ALAMEDA DE LA SAGRA;45240
12-1-23 12:52;30/11/1999;ALAMEDA DE LA SAGRA;45240
12-1-23 12:52;06/04/1998;ALAMEDA DE LA SAGRA;45240
12-1-23 12:52;22/06/1998;ALAMEDA DE LA SAGRA;45240
7-7-22 14:01;25/10/1995;ALBACETE;2005
7-7-22 14:01;14/01/1997;ALBACETE;2003
7-7-22 14:01;19/07/1997;ALBACETE;2004
7-7-22 14:01;20/05/1998;ALBACETE;2006
