Museo,Género,Renta Anual (€),Nivel de Estudios,Edad,Locales (%),Nacionales (%),Internacionales (%),Visitantes por Grupo,Porcentaje Locales (%),Porcentaje Nacionales (%),Porcentaje Internacionales (%)
CaixaForum Madrid,Femenino,">40,000€",Postgrado o Doctorado,>50,35,14,32,4,43.20987654320987,17.28395061728395,39.50617283950617
CaixaForum Madrid,Masculino,"<20,000€",Estudios Universitarios,<18,50,22,21,136,53.76344086021505,23.655913978494624,22.58064516129032
CaixaForum Madrid,Masculino,"20,000€ - 40,000€",Educación Primaria,>50,38,35,12,163,44.70588235294118,41.17647058823529,14.117647058823529
CaixaForum Madrid,Femenino,"20,000€ - 40,000€",Postgrado o Doctorado,<18,30,15,15,32,50.0,25.0,25.0
CaixaForum Madrid,Femenino,"20,000€ - 40,000€",Educación Primaria,36-50,50,14,32,107,52.083333333333336,14.583333333333334,33.33333333333333
CaixaForum Madrid,Femenino,"20,000€ - 40,000€",Postgrado o Doctorado,>50,34,16,38,106,38.63636363636363,18.181818181818183,43.18181818181818
CaixaForum Madrid,Femenino,"<20,000€",Educación Primaria,36-50,30,11,28,61,43.47826086956522,15.942028985507244,40.57971014492754
CaixaForum Madrid,Masculino,"20,000€ - 40,000€",Estudios Universitarios,<18,26,19,39,117,30.952380952380953,22.61904761904762,46.42857142857143
CaixaForum Madrid,Masculino,"<20,000€",Educación Secundaria,36-50,36,27,13,81,47.368421052631575,35.526315789473685,17.105263157894736
CaixaForum Madrid,Masculino,">40,000€",Postgrado o Doctorado,>50,45,41,17,115,43.689320388349515,39.80582524271845,16.50485436893204
CaixaForum Madrid,Masculino,"<20,000€",Educación Primaria,>50,38,17,13,64,55.88235294117647,25.0,19.11764705882353
CaixaForum Madrid,Masculino,">40,000€",Postgrado o Doctorado,18-35,44,46,37,16,34.645669291338585,36.22047244094488,29.133858267716533
CaixaForum Madrid,Femenino,"<20,000€",Estudios Universitarios,>50,26,11,19,140,46.42857142857143,19.642857142857142,33.92857142857143
CaixaForum Madrid,Femenino,"<20,000€",Educación Primaria,<18,60,11,30,63,59.4059405940594,10.891089108910892,29.7029702970297
CaixaForum Madrid,Masculino,"20,000€ - 40,000€",Postgrado o Doctorado,>50,50,38,18,34,47.16981132075472,35.84905660377358,16.9811320754717
CaixaForum Madrid,Masculino,"<20,000€",Estudios Universitarios,36-50,69,24,21,174,60.526315789473685,21.052631578947366,18.421052631578945
CaixaForum Madrid,Masculino,"20,000€ - 40,000€",Estudios Universitarios,18-35,53,16,32,46,52.475247524752476,15.841584158415841,31.683168316831683
CaixaForum Madrid,Masculino,">40,000€",Postgrado o Doctorado,<18,41,43,15,92,41.41414141414141,43.43434343434344,15.151515151515152
CaixaForum Madrid,Masculino,"<20,000€",Educación Secundaria,18-35,56,25,31,157,50.0,22.321428571428573,27.67857142857143
CaixaForum Madrid,Masculino,">40,000€",Educación Secundaria,36-50,52,38,39,157,40.310077519379846,29.457364341085274,30.23255813953488
CaixaForum Madrid,Masculino,">40,000€",Estudios Universitarios,18-35,43,43,38,61,34.67741935483871,34.67741935483871,30.64516129032258
CaixaForum Madrid,Masculino,">40,000€",Estudios Universitarios,>50,34,11,23,67,50.0,16.176470588235293,33.82352941176471
CaixaForum Madrid,Femenino,"<20,000€",Educación Secundaria,<18,43,16,12,129,60.56338028169014,22.535211267605636,16.901408450704224
CaixaForum Madrid,Femenino,"<20,000€",Estudios Universitarios,36-50,54,30,18,103,52.94117647058824,29.411764705882355,17.647058823529413
CaixaForum Madrid,Masculino,">40,000€",Educación Secundaria,>50,54,35,24,179,47.78761061946903,30.973451327433626,21.238938053097346
CaixaForum Madrid,Femenino,"<20,000€",Estudios Universitarios,18-35,47,23,29,30,47.474747474747474,23.232323232323232,29.292929292929294
CaixaForum Madrid,Femenino,"20,000€ - 40,000€",Postgrado o Doctorado,36-50,22,41,36,132,22.22222222222222,41.41414141414141,36.36363636363637
CaixaForum Madrid,Masculino,"20,000€ - 40,000€",Estudios Universitarios,18-35,44,22,34,194,44.0,22.0,34.0
CaixaForum Madrid,Femenino,"<20,000€",Postgrado o Doctorado,36-50,67,23,22,110,59.82142857142857,20.535714285714285,19.642857142857142
CaixaForum Madrid,Masculino,"<20,000€",Educación Primaria,36-50,27,30,12,177,39.130434782608695,43.47826086956522,17.391304347826086
CaixaForum Madrid,Masculino,"<20,000€",Estudios Universitarios,<18,24,45,37,84,22.641509433962266,42.45283018867924,34.90566037735849
CaixaForum Madrid,Masculino,"20,000€ - 40,000€",Estudios Universitarios,36-50,28,20,15,41,44.44444444444444,31.746031746031743,23.809523809523807
CaixaForum Madrid,Femenino,"20,000€ - 40,000€",Educación Secundaria,<18,52,15,33,163,52.0,15.0,33.0
CaixaForum Madrid,Masculino,"20,000€ - 40,000€",Educación Secundaria,18-35,30,36,36,82,29.411764705882355,35.294117647058826,35.294117647058826
CaixaForum Madrid,Masculino,"20,000€ - 40,000€",Educación Primaria,>50,26,14,13,105,49.056603773584904,26.41509433962264,24.528301886792452
CaixaForum Madrid,Masculino,">40,000€",Educación Primaria,18-35,26,23,22,87,36.61971830985916,32.3943661971831,30.985915492957744
CaixaForum Madrid,Femenino,"<20,000€",Estudios Universitarios,>50,42,26,11,109,53.16455696202531,32.91139240506329,13.924050632911392
CaixaForum Madrid,Masculino,"<20,000€",Estudios Universitarios,<18,23,10,30,113,36.507936507936506,15.873015873015872,47.61904761904761
CaixaForum Madrid,Masculino,"20,000€ - 40,000€",Educación Primaria,18-35,26,46,38,108,23.636363636363637,41.81818181818181,34.54545454545455
