Museo,Género,Renta Anual (€),Nivel de Estudios,Edad,Locales (%),Nacionales (%),Internacionales (%),Visitantes por Grupo,Porcentaje Locales (%),Porcentaje Nacionales (%),Porcentaje Internacionales (%)
Museo Arqueológico Nacional,Femenino,">40,000€",Postgrado o Doctorado,<18,34,49,18,53,33.663366336633665,48.51485148514851,17.82178217821782
Museo Arqueológico Nacional,Masculino,">40,000€",Postgrado o Doctorado,<18,65,13,13,75,71.42857142857143,14.285714285714285,14.285714285714285
Museo Arqueológico Nacional,Femenino,"20,000€ - 40,000€",Estudios Universitarios,18-35,20,14,39,32,27.397260273972602,19.17808219178082,53.42465753424658
Museo Arqueológico Nacional,Masculino,"20,000€ - 40,000€",Educación Primaria,<18,46,46,26,156,38.983050847457626,38.983050847457626,22.033898305084744
Museo Arqueológico Nacional,Femenino,"20,000€ - 40,000€",Estudios Universitarios,<18,52,45,30,149,40.94488188976378,35.43307086614173,23.62204724409449
Museo Arqueológico Nacional,Masculino,">40,000€",Educación Primaria,>50,55,46,34,95,40.74074074074074,34.074074074074076,25.185185185185183
Museo Arqueológico Nacional,Masculino,"<20,000€",Educación Secundaria,<18,28,25,17,64,40.0,35.714285714285715,24.285714285714285
Museo Arqueológico Nacional,Masculino,">40,000€",Educación Secundaria,>50,30,33,34,96,30.927835051546392,34.02061855670103,35.051546391752574
Museo Arqueológico Nacional,Masculino,"<20,000€",Educación Secundaria,>50,25,30,20,54,33.33333333333333,40.0,26.666666666666668
Museo Arqueológico Nacional,Masculino,"<20,000€",Educación Primaria,18-35,49,13,23,6,57.647058823529406,15.294117647058824,27.058823529411764
Museo Arqueológico Nacional,Femenino,"<20,000€",Educación Secundaria,18-35,41,17,24,82,50.0,20.73170731707317,29.268292682926827
Museo Arqueológico Nacional,Masculino,"20,000€ - 40,000€",Estudios Universitarios,<18,37,41,15,62,39.784946236559136,44.086021505376344,16.129032258064516
Museo Arqueológico Nacional,Femenino,"20,000€ - 40,000€",Educación Secundaria,36-50,34,43,22,140,34.34343434343434,43.43434343434344,22.22222222222222
Museo Arqueológico Nacional,Masculino,">40,000€",Educación Primaria,18-35,53,10,16,18,67.08860759493672,12.658227848101266,20.253164556962027
Museo Arqueológico Nacional,Femenino,">40,000€",Estudios Universitarios,18-35,34,42,38,122,29.82456140350877,36.84210526315789,33.33333333333333
Museo Arqueológico Nacional,Masculino,"20,000€ - 40,000€",Postgrado o Doctorado,36-50,44,34,35,22,38.93805309734513,30.08849557522124,30.973451327433626
Museo Arqueológico Nacional,Femenino,"<20,000€",Educación Secundaria,18-35,59,17,33,159,54.12844036697248,15.59633027522936,30.275229357798167
Museo Arqueológico Nacional,Masculino,">40,000€",Postgrado o Doctorado,18-35,28,34,24,124,32.55813953488372,39.53488372093023,27.906976744186046
Museo Arqueológico Nacional,Masculino,"20,000€ - 40,000€",Educación Secundaria,<18,68,37,16,81,56.19834710743802,30.57851239669421,13.223140495867769
Museo Arqueológico Nacional,Masculino,">40,000€",Postgrado o Doctorado,>50,27,17,25,116,39.130434782608695,24.637681159420293,36.231884057971016
Museo Arqueológico Nacional,Femenino,"<20,000€",Educación Secundaria,18-35,39,45,38,134,31.967213114754102,36.885245901639344,31.147540983606557
Museo Arqueológico Nacional,Masculino,"20,000€ - 40,000€",Educación Primaria,>50,24,35,37,110,25.0,36.45833333333333,38.54166666666667
Museo Arqueológico Nacional,Masculino,">40,000€",Postgrado o Doctorado,18-35,28,40,16,184,33.33333333333333,47.61904761904761,19.047619047619047
Museo Arqueológico Nacional,Masculino,">40,000€",Postgrado o Doctorado,18-35,45,35,29,183,41.284403669724774,32.11009174311927,26.605504587155966
Museo Arqueológico Nacional,Masculino,"20,000€ - 40,000€",Postgrado o Doctorado,18-35,23,16,15,152,42.592592592592595,29.629629629629626,27.77777777777778
Museo Arqueológico Nacional,Femenino,"<20,000€",Postgrado o Doctorado,>50,45,42,31,113,38.13559322033898,35.59322033898305,26.27118644067797
Museo Arqueológico Nacional,Masculino,"20,000€ - 40,000€",Educación Secundaria,>50,37,47,14,35,37.755102040816325,47.95918367346938,14.285714285714285
Museo Arqueológico Nacional,Femenino,">40,000€",Educación Secundaria,18-35,38,21,25,173,45.23809523809524,25.0,29.761904761904763
Museo Arqueológico Nacional,Femenino,">40,000€",Estudios Universitarios,36-50,36,40,20,184,37.5,41.66666666666667,20.833333333333336
Museo Arqueológico Nacional,Femenino,"20,000€ - 40,000€",Estudios Universitarios,36-50,24,18,26,22,35.294117647058826,26.47058823529412,38.23529411764706
