Museo,Género,Renta Anual (€),Nivel de Estudios,Edad,Locales (%),Nacionales (%),Internacionales (%),Visitantes por Grupo,Porcentaje Locales (%),Porcentaje Nacionales (%),Porcentaje Internacionales (%)
Museo Cerralbo,Femenino,"20,000€ - 40,000€",Educación Primaria,>50,21,11,36,70,30.88235294117647,16.176470588235293,52.94117647058824
Museo Cerralbo,Femenino,"<20,000€",Educación Secundaria,18-35,31,15,38,176,36.904761904761905,17.857142857142858,45.23809523809524
Museo Cerralbo,Masculino,"<20,000€",Estudios Universitarios,18-35,61,20,29,63,55.45454545454545,18.181818181818183,26.36363636363636
Museo Cerralbo,Femenino,">40,000€",Educación Secundaria,36-50,45,21,37,125,43.689320388349515,20.388349514563107,35.92233009708738
Museo Cerralbo,Masculino,"20,000€ - 40,000€",Postgrado o Doctorado,>50,35,10,22,11,52.23880597014925,14.925373134328357,32.83582089552239
Museo Cerralbo,Femenino,">40,000€",Educación Primaria,18-35,67,34,20,35,55.371900826446286,28.09917355371901,16.528925619834713
Museo Cerralbo,Masculino,"<20,000€",Estudios Universitarios,<18,32,20,12,155,50.0,31.25,18.75
Museo Cerralbo,Femenino,">40,000€",Educación Secundaria,<18,24,42,23,61,26.96629213483146,47.19101123595505,25.842696629213485
Museo Cerralbo,Masculino,">40,000€",Estudios Universitarios,>50,21,36,27,152,25.0,42.857142857142854,32.142857142857146
Museo Cerralbo,Masculino,"20,000€ - 40,000€",Postgrado o Doctorado,18-35,64,21,17,47,62.745098039215684,20.588235294117645,16.666666666666664
Museo Cerralbo,Femenino,"<20,000€",Postgrado o Doctorado,>50,37,39,34,133,33.63636363636363,35.45454545454545,30.909090909090907
Museo Cerralbo,Masculino,"20,000€ - 40,000€",Postgrado o Doctorado,36-50,59,13,16,145,67.04545454545455,14.772727272727273,18.181818181818183
Museo Cerralbo,Femenino,"20,000€ - 40,000€",Postgrado o Doctorado,36-50,40,31,24,105,42.10526315789473,32.631578947368425,25.263157894736842
Museo Cerralbo,Femenino,"<20,000€",Postgrado o Doctorado,18-35,51,26,35,11,45.535714285714285,23.214285714285715,31.25
Museo Cerralbo,Femenino,"20,000€ - 40,000€",Educación Secundaria,>50,68,15,17,112,68.0,15.0,17.0
Museo Cerralbo,Femenino,"<20,000€",Educación Primaria,<18,28,39,35,110,27.450980392156865,38.23529411764706,34.31372549019608
Museo Cerralbo,Femenino,"20,000€ - 40,000€",Educación Primaria,>50,59,26,39,184,47.58064516129033,20.967741935483872,31.451612903225808
Museo Cerralbo,Masculino,"20,000€ - 40,000€",Educación Secundaria,>50,51,39,35,94,40.8,31.2,28.000000000000004
Museo Cerralbo,Masculino,">40,000€",Educación Primaria,18-35,53,34,35,190,43.44262295081967,27.86885245901639,28.688524590163933
Museo Cerralbo,Femenino,"<20,000€",Educación Primaria,<18,30,39,18,89,34.48275862068966,44.827586206896555,20.689655172413794
Museo Cerralbo,Femenino,">40,000€",Postgrado o Doctorado,<18,30,11,28,197,43.47826086956522,15.942028985507244,40.57971014492754
Museo Cerralbo,Masculino,">40,000€",Educación Primaria,<18,65,25,35,31,52.0,20.0,28.000000000000004
Museo Cerralbo,Femenino,">40,000€",Estudios Universitarios,>50,63,25,12,104,63.0,25.0,12.0
Museo Cerralbo,Femenino,"<20,000€",Postgrado o Doctorado,<18,22,33,31,172,25.581395348837212,38.372093023255815,36.04651162790697
Museo Cerralbo,Masculino,"<20,000€",Estudios Universitarios,36-50,48,35,14,53,49.48453608247423,36.08247422680412,14.432989690721648
Museo Cerralbo,Masculino,">40,000€",Educación Secundaria,36-50,50,49,12,36,45.04504504504504,44.14414414414414,10.81081081081081
Museo Cerralbo,Masculino,"20,000€ - 40,000€",Educación Primaria,36-50,56,16,34,6,52.83018867924528,15.09433962264151,32.075471698113205
Museo Cerralbo,Femenino,"<20,000€",Educación Primaria,18-35,38,17,39,110,40.42553191489361,18.085106382978726,41.48936170212766
Museo Cerralbo,Femenino,">40,000€",Educación Secundaria,<18,32,17,23,158,44.44444444444444,23.61111111111111,31.944444444444443
Museo Cerralbo,Femenino,"<20,000€",Postgrado o Doctorado,36-50,23,26,18,192,34.32835820895522,38.80597014925373,26.865671641791046
Museo Cerralbo,Femenino,">40,000€",Educación Primaria,36-50,54,14,10,50,69.23076923076923,17.94871794871795,12.82051282051282
Museo Cerralbo,Masculino,"20,000€ - 40,000€",Estudios Universitarios,<18,51,34,12,93,52.57731958762887,35.051546391752574,12.371134020618557
Museo Cerralbo,Femenino,"20,000€ - 40,000€",Educación Secundaria,36-50,60,18,16,42,63.829787234042556,19.148936170212767,17.02127659574468
Museo Cerralbo,Femenino,"<20,000€",Estudios Universitarios,>50,26,21,36,66,31.32530120481928,25.301204819277107,43.373493975903614
Museo Cerralbo,Masculino,"20,000€ - 40,000€",Educación Primaria,18-35,42,21,11,157,56.75675675675676,28.37837837837838,14.864864864864865
Museo Cerralbo,Masculino,">40,000€",Postgrado o Doctorado,<18,59,46,34,161,42.44604316546763,33.093525179856115,24.46043165467626
Museo Cerralbo,Femenino,">40,000€",Estudios Universitarios,18-35,45,46,12,9,43.689320388349515,44.66019417475729,11.650485436893204
Museo Cerralbo,Femenino,">40,000€",Educación Secundaria,36-50,59,47,10,119,50.86206896551724,40.51724137931034,8.620689655172415
Museo Cerralbo,Femenino,"<20,000€",Educación Secundaria,<18,21,10,28,196,35.59322033898305,16.94915254237288,47.45762711864407
Museo Cerralbo,Femenino,"20,000€ - 40,000€",Postgrado o Doctorado,18-35,66,35,11,89,58.92857142857143,31.25,9.821428571428571
Museo Cerralbo,Masculino,"<20,000€",Educación Secundaria,<18,34,16,36,149,39.53488372093023,18.6046511627907,41.86046511627907
Museo Cerralbo,Masculino,">40,000€",Educación Secundaria,>50,21,41,36,197,21.428571428571427,41.83673469387755,36.734693877551024
