Museo,Género,Renta Anual (€),Nivel de Estudios,Edad,Locales (%),Nacionales (%),Internacionales (%),Visitantes por Grupo,Porcentaje Locales (%),Porcentaje Nacionales (%),Porcentaje Internacionales (%)
Museo de Historia de Madrid,Femenino,"<20,000€",Educación Primaria,<18,40,17,32,65,44.9438202247191,19.101123595505616,35.95505617977528
Museo de Historia de Madrid,Masculino,"20,000€ - 40,000€",Educación Primaria,<18,38,32,23,25,40.86021505376344,34.40860215053764,24.731182795698924
Museo de Historia de Madrid,Masculino,">40,000€",Estudios Universitarios,18-35,26,27,22,107,34.66666666666667,36.0,29.333333333333332
Museo de Historia de Madrid,Masculino,"20,000€ - 40,000€",Educación Primaria,<18,30,16,21,85,44.776119402985074,23.88059701492537,31.343283582089555
Museo de Historia de Madrid,Masculino,"20,000€ - 40,000€",Educación Primaria,<18,29,13,38,1,36.25,16.25,47.5
Museo de Historia de Madrid,Femenino,">40,000€",Educación Secundaria,36-50,29,34,39,9,28.431372549019606,33.33333333333333,38.23529411764706
Museo de Historia de Madrid,Femenino,"20,000€ - 40,000€",Educación Secundaria,36-50,58,45,26,83,44.96124031007752,34.883720930232556,20.155038759689923
Museo de Historia de Madrid,Masculino,"<20,000€",Educación Secundaria,18-35,39,31,38,46,36.11111111111111,28.703703703703702,35.18518518518518
Museo de Historia de Madrid,Masculino,">40,000€",Estudios Universitarios,<18,20,44,10,178,27.027027027027028,59.45945945945946,13.513513513513514
Museo de Historia de Madrid,Masculino,"<20,000€",Postgrado o Doctorado,>50,41,17,33,72,45.05494505494506,18.681318681318682,36.26373626373626
Museo de Historia de Madrid,Femenino,">40,000€",Educación Primaria,>50,25,10,36,16,35.2112676056338,14.084507042253522,50.70422535211267
Museo de Historia de Madrid,Femenino,"20,000€ - 40,000€",Postgrado o Doctorado,18-35,58,45,36,78,41.726618705035975,32.37410071942446,25.899280575539567
Museo de Historia de Madrid,Masculino,"20,000€ - 40,000€",Estudios Universitarios,<18,26,21,22,68,37.68115942028986,30.434782608695656,31.88405797101449
Museo de Historia de Madrid,Masculino,"20,000€ - 40,000€",Educación Primaria,>50,45,29,17,2,49.45054945054945,31.868131868131865,18.681318681318682
Museo de Historia de Madrid,Femenino,">40,000€",Estudios Universitarios,<18,46,12,21,147,58.22784810126582,15.18987341772152,26.582278481012654
Museo de Historia de Madrid,Masculino,"<20,000€",Estudios Universitarios,36-50,36,24,21,16,44.44444444444444,29.629629629629626,25.925925925925924
Museo de Historia de Madrid,Masculino,"<20,000€",Estudios Universitarios,36-50,54,33,13,56,54.0,33.0,13.0
Museo de Historia de Madrid,Masculino,"20,000€ - 40,000€",Estudios Universitarios,36-50,52,18,30,150,52.0,18.0,30.0
Museo de Historia de Madrid,Femenino,"<20,000€",Estudios Universitarios,<18,35,11,37,106,42.168674698795186,13.253012048192772,44.57831325301205
Museo de Historia de Madrid,Masculino,"<20,000€",Educación Secundaria,18-35,44,14,38,18,45.83333333333333,14.583333333333334,39.58333333333333
Museo de Historia de Madrid,Masculino,"<20,000€",Estudios Universitarios,<18,35,45,28,94,32.407407407407405,41.66666666666667,25.925925925925924
Museo de Historia de Madrid,Femenino,"<20,000€",Educación Secundaria,<18,25,36,35,184,26.041666666666668,37.5,36.45833333333333
Museo de Historia de Madrid,Masculino,"20,000€ - 40,000€",Educación Secundaria,<18,68,35,18,184,56.19834710743802,28.92561983471074,14.87603305785124
Museo de Historia de Madrid,Femenino,"<20,000€",Educación Secundaria,36-50,55,36,27,113,46.61016949152542,30.508474576271187,22.88135593220339
Museo de Historia de Madrid,Femenino,"20,000€ - 40,000€",Educación Primaria,>50,52,38,33,156,42.27642276422765,30.89430894308943,26.82926829268293
Museo de Historia de Madrid,Masculino,"<20,000€",Estudios Universitarios,<18,41,39,34,37,35.96491228070175,34.21052631578947,29.82456140350877
Museo de Historia de Madrid,Femenino,"20,000€ - 40,000€",Educación Secundaria,18-35,50,31,24,72,47.61904761904761,29.523809523809526,22.857142857142858
Museo de Historia de Madrid,Masculino,"<20,000€",Educación Secundaria,18-35,45,15,38,145,45.91836734693878,15.306122448979592,38.775510204081634
Museo de Historia de Madrid,Femenino,"20,000€ - 40,000€",Educación Secundaria,>50,28,38,34,97,28.000000000000004,38.0,34.0
Museo de Historia de Madrid,Masculino,"20,000€ - 40,000€",Postgrado o Doctorado,<18,46,25,29,162,46.0,25.0,28.999999999999996
