Museo,Género,Renta Anual (€),Nivel de Estudios,Edad,Locales (%),Nacionales (%),Internacionales (%),Visitantes por Grupo,Porcentaje Locales (%),Porcentaje Nacionales (%),Porcentaje Internacionales (%)
Museo del Prado,Femenino,"20,000€ - 40,000€",Estudios Universitarios,18-35,69,43,23,146,51.11111111111111,31.851851851851855,17.037037037037038
Museo del Prado,Masculino,"20,000€ - 40,000€",Educación Primaria,36-50,46,35,18,158,46.464646464646464,35.35353535353536,18.181818181818183
Museo del Prado,Masculino,"<20,000€",Estudios Universitarios,36-50,40,19,14,45,54.794520547945204,26.027397260273972,19.17808219178082
Museo del Prado,Femenino,">40,000€",Postgrado o Doctorado,>50,44,33,18,168,46.31578947368421,34.73684210526316,18.947368421052634
Museo del Prado,Masculino,"<20,000€",Postgrado o Doctorado,>50,60,39,19,88,50.847457627118644,33.05084745762712,16.101694915254235
Museo del Prado,Masculino,"20,000€ - 40,000€",Postgrado o Doctorado,36-50,27,40,39,171,25.471698113207548,37.735849056603776,36.79245283018868
Museo del Prado,Femenino,">40,000€",Postgrado o Doctorado,<18,34,10,18,28,54.83870967741935,16.129032258064516,29.03225806451613
Museo del Prado,Masculino,"20,000€ - 40,000€",Educación Secundaria,>50,38,38,20,2,39.58333333333333,39.58333333333333,20.833333333333336
Museo del Prado,Femenino,"20,000€ - 40,000€",Educación Secundaria,>50,62,12,38,29,55.35714285714286,10.714285714285714,33.92857142857143
Museo del Prado,Femenino,">40,000€",Educación Secundaria,18-35,63,23,15,140,62.37623762376238,22.772277227722775,14.85148514851485
Museo del Prado,Femenino,">40,000€",Educación Primaria,36-50,44,26,28,45,44.89795918367347,26.53061224489796,28.57142857142857
Museo del Prado,Femenino,"<20,000€",Educación Secundaria,>50,26,30,29,69,30.58823529411765,35.294117647058826,34.11764705882353
Museo del Prado,Femenino,"<20,000€",Postgrado o Doctorado,>50,41,40,23,15,39.42307692307692,38.46153846153847,22.115384615384613
Museo del Prado,Masculino,">40,000€",Postgrado o Doctorado,>50,29,41,34,7,27.884615384615387,39.42307692307692,32.69230769230769
Museo del Prado,Femenino,"<20,000€",Educación Secundaria,>50,35,36,21,180,38.04347826086957,39.130434782608695,22.82608695652174
Museo del Prado,Masculino,"20,000€ - 40,000€",Educación Primaria,18-35,37,27,14,148,47.43589743589743,34.61538461538461,17.94871794871795
Museo del Prado,Masculino,"<20,000€",Educación Primaria,>50,33,46,31,1,30.0,41.81818181818181,28.18181818181818
Museo del Prado,Femenino,"<20,000€",Postgrado o Doctorado,36-50,43,39,27,34,39.44954128440367,35.77981651376147,24.770642201834864
Museo del Prado,Masculino,"20,000€ - 40,000€",Estudios Universitarios,18-35,44,35,35,87,38.59649122807017,30.701754385964914,30.701754385964914
Museo del Prado,Femenino,"20,000€ - 40,000€",Estudios Universitarios,36-50,23,26,38,86,26.436781609195403,29.88505747126437,43.67816091954023
Museo del Prado,Femenino,"<20,000€",Postgrado o Doctorado,18-35,47,10,19,126,61.8421052631579,13.157894736842104,25.0
Museo del Prado,Femenino,">40,000€",Estudios Universitarios,18-35,58,18,29,5,55.23809523809524,17.142857142857142,27.61904761904762
Museo del Prado,Masculino,"20,000€ - 40,000€",Educación Primaria,36-50,27,33,24,73,32.142857142857146,39.285714285714285,28.57142857142857
Museo del Prado,Femenino,">40,000€",Estudios Universitarios,36-50,53,40,23,14,45.689655172413794,34.48275862068966,19.82758620689655
Museo del Prado,Femenino,"<20,000€",Educación Secundaria,<18,47,11,27,60,55.294117647058826,12.941176470588237,31.76470588235294
Museo del Prado,Femenino,"20,000€ - 40,000€",Estudios Universitarios,18-35,39,28,29,155,40.625,29.166666666666668,30.208333333333332
Museo del Prado,Femenino,"20,000€ - 40,000€",Educación Primaria,18-35,55,37,35,50,43.30708661417323,29.133858267716533,27.559055118110237
Museo del Prado,Femenino,"<20,000€",Postgrado o Doctorado,18-35,36,22,31,55,40.44943820224719,24.719101123595504,34.831460674157306
Museo del Prado,Masculino,">40,000€",Educación Secundaria,18-35,66,37,38,147,46.808510638297875,26.24113475177305,26.95035460992908
Museo del Prado,Femenino,"20,000€ - 40,000€",Postgrado o Doctorado,>50,55,30,22,89,51.4018691588785,28.037383177570092,20.5607476635514
Museo del Prado,Masculino,"20,000€ - 40,000€",Estudios Universitarios,<18,36,43,28,181,33.64485981308411,40.18691588785047,26.168224299065418
