Museo,Género,Renta Anual (€),Nivel de Estudios,Edad,Locales (%),Nacionales (%),Internacionales (%),Visitantes por Grupo,Porcentaje Locales (%),Porcentaje Nacionales (%),Porcentaje Internacionales (%)
Museo del Romanticismo,Masculino,"<20,000€",Estudios Universitarios,>50,52,26,20,96,53.06122448979592,26.53061224489796,20.408163265306122
Museo del Romanticismo,Femenino,"20,000€ - 40,000€",Estudios Universitarios,36-50,30,45,38,12,26.548672566371685,39.823008849557525,33.6283185840708
Museo del Romanticismo,Femenino,"<20,000€",Estudios Universitarios,>50,62,35,35,44,46.96969696969697,26.515151515151516,26.515151515151516
Museo del Romanticismo,Masculino,">40,000€",Postgrado o Doctorado,36-50,47,31,24,103,46.07843137254902,30.392156862745097,23.52941176470588
Museo del Romanticismo,Femenino,">40,000€",Educación Secundaria,18-35,48,46,26,12,40.0,38.333333333333336,21.666666666666668
Museo del Romanticismo,Masculino,">40,000€",Estudios Universitarios,36-50,54,15,37,71,50.943396226415096,14.150943396226415,34.90566037735849
Museo del Romanticismo,Masculino,"20,000€ - 40,000€",Estudios Universitarios,>50,32,48,32,22,28.57142857142857,42.857142857142854,28.57142857142857
Museo del Romanticismo,Femenino,"20,000€ - 40,000€",Postgrado o Doctorado,18-35,47,42,37,14,37.301587301587304,33.33333333333333,29.365079365079367
Museo del Romanticismo,Masculino,">40,000€",Postgrado o Doctorado,36-50,35,20,13,26,51.470588235294116,29.411764705882355,19.11764705882353
Museo del Romanticismo,Femenino,"20,000€ - 40,000€",Educación Primaria,18-35,25,42,34,42,24.752475247524753,41.584158415841586,33.663366336633665
Museo del Romanticismo,Masculino,">40,000€",Estudios Universitarios,>50,50,46,20,142,43.103448275862064,39.6551724137931,17.24137931034483
Museo del Romanticismo,Femenino,"20,000€ - 40,000€",Educación Primaria,36-50,69,19,37,67,55.2,15.2,29.599999999999998
Museo del Romanticismo,Masculino,">40,000€",Estudios Universitarios,>50,64,11,21,50,66.66666666666666,11.458333333333332,21.875
Museo del Romanticismo,Masculino,"<20,000€",Educación Primaria,>50,45,26,31,11,44.11764705882353,25.49019607843137,30.392156862745097
Museo del Romanticismo,Masculino,"20,000€ - 40,000€",Estudios Universitarios,36-50,59,29,39,166,46.45669291338583,22.83464566929134,30.708661417322837
Museo del Romanticismo,Masculino,">40,000€",Postgrado o Doctorado,<18,38,34,33,116,36.19047619047619,32.38095238095238,31.428571428571427
Museo del Romanticismo,Femenino,"20,000€ - 40,000€",Educación Secundaria,>50,37,17,24,86,47.43589743589743,21.794871794871796,30.76923076923077
Museo del Romanticismo,Masculino,">40,000€",Educación Primaria,36-50,25,41,24,2,27.77777777777778,45.55555555555556,26.666666666666668
Museo del Romanticismo,Femenino,"20,000€ - 40,000€",Educación Secundaria,<18,68,43,29,154,48.57142857142857,30.714285714285715,20.714285714285715
Museo del Romanticismo,Masculino,"<20,000€",Estudios Universitarios,18-35,40,40,13,62,43.01075268817204,43.01075268817204,13.978494623655912
Museo del Romanticismo,Femenino,">40,000€",Estudios Universitarios,18-35,54,47,33,47,40.298507462686565,35.07462686567165,24.62686567164179
Museo del Romanticismo,Masculino,">40,000€",Educación Primaria,>50,66,39,38,144,46.15384615384615,27.27272727272727,26.573426573426573
