Museo,Género,Renta Anual (€),Nivel de Estudios,Edad,Locales (%),Nacionales (%),Internacionales (%),Visitantes por Grupo,Porcentaje Locales (%),Porcentaje Nacionales (%),Porcentaje Internacionales (%)
Museo Reina Sofía,Femenino,"20,000€ - 40,000€",Estudios Universitarios,18-35,64,47,16,87,50.39370078740157,37.00787401574803,12.598425196850393
Museo Reina Sofía,Masculino,"<20,000€",Educación Primaria,36-50,31,13,25,172,44.927536231884055,18.84057971014493,36.231884057971016
Museo Reina Sofía,Masculino,"20,000€ - 40,000€",Estudios Universitarios,<18,69,45,29,126,48.25174825174825,31.46853146853147,20.27972027972028
Museo Reina Sofía,Femenino,"20,000€ - 40,000€",Estudios Universitarios,36-50,55,28,23,129,51.886792452830186,26.41509433962264,21.69811320754717
Museo Reina Sofía,Masculino,"<20,000€",Educación Primaria,>50,66,28,26,31,55.00000000000001,23.333333333333332,21.666666666666668
Museo Reina Sofía,Femenino,"20,000€ - 40,000€",Educación Primaria,18-35,45,18,24,12,51.724137931034484,20.689655172413794,27.586206896551722
Museo Reina Sofía,Femenino,">40,000€",Postgrado o Doctorado,36-50,58,28,10,138,60.416666666666664,29.166666666666668,10.416666666666668
Museo Reina Sofía,Masculino,"<20,000€",Postgrado o Doctorado,36-50,58,35,25,26,49.152542372881356,29.66101694915254,21.1864406779661
Museo Reina Sofía,Masculino,"<20,000€",Postgrado o Doctorado,<18,59,20,29,184,54.629629629629626,18.51851851851852,26.851851851851855
Museo Reina Sofía,Masculino,"<20,000€",Estudios Universitarios,>50,35,13,25,152,47.94520547945205,17.80821917808219,34.24657534246575
Museo Reina Sofía,Masculino,">40,000€",Postgrado o Doctorado,<18,61,18,26,139,58.0952380952381,17.142857142857142,24.761904761904763
Museo Reina Sofía,Masculino,"20,000€ - 40,000€",Postgrado o Doctorado,36-50,30,49,16,37,31.57894736842105,51.578947368421055,16.842105263157894
Museo Reina Sofía,Femenino,"20,000€ - 40,000€",Postgrado o Doctorado,>50,42,35,18,196,44.21052631578947,36.84210526315789,18.947368421052634
Museo Reina Sofía,Femenino,">40,000€",Estudios Universitarios,18-35,67,42,17,76,53.17460317460318,33.33333333333333,13.492063492063492
Museo Reina Sofía,Femenino,"<20,000€",Estudios Universitarios,>50,69,42,34,53,47.58620689655172,28.965517241379313,23.448275862068964
Museo Reina Sofía,Masculino,">40,000€",Postgrado o Doctorado,>50,60,47,32,63,43.16546762589928,33.81294964028777,23.021582733812952
Museo Reina Sofía,Femenino,">40,000€",Postgrado o Doctorado,<18,65,14,35,199,57.01754385964912,12.280701754385964,30.701754385964914
Museo Reina Sofía,Masculino,"<20,000€",Educación Secundaria,>50,50,19,11,112,62.5,23.75,13.750000000000002
Museo Reina Sofía,Femenino,">40,000€",Educación Secundaria,<18,49,10,15,199,66.21621621621621,13.513513513513514,20.27027027027027
Museo Reina Sofía,Masculino,"20,000€ - 40,000€",Educación Primaria,>50,25,41,19,38,29.411764705882355,48.23529411764706,22.35294117647059
Museo Reina Sofía,Masculino,">40,000€",Educación Secundaria,>50,35,39,31,85,33.33333333333333,37.142857142857146,29.523809523809526
