Museo,Género,Renta Anual (€),Nivel de Estudios,Edad,Locales (%),Nacionales (%),Internacionales (%),Visitantes por Grupo,Porcentaje Locales (%),Porcentaje Nacionales (%),Porcentaje Internacionales (%)
Museo Sorolla,Masculino,">40,000€",Educación Primaria,<18,58,15,31,68,55.769230769230774,14.423076923076922,29.807692307692307
Museo Sorolla,Masculino,"20,000€ - 40,000€",Educación Primaria,>50,48,19,23,167,53.333333333333336,21.11111111111111,25.555555555555554
Museo Sorolla,Femenino,"<20,000€",Educación Secundaria,18-35,43,33,38,65,37.719298245614034,28.947368421052634,33.33333333333333
Museo Sorolla,Femenino,"20,000€ - 40,000€",Educación Secundaria,<18,38,49,26,179,33.6283185840708,43.36283185840708,23.008849557522122
Museo Sorolla,Masculino,"20,000€ - 40,000€",Estudios Universitarios,<18,60,38,12,42,54.54545454545454,34.54545454545455,10.909090909090908
Museo Sorolla,Masculino,"20,000€ - 40,000€",Educación Secundaria,>50,65,17,22,42,62.5,16.346153846153847,21.153846153846153
Museo Sorolla,Femenino,"<20,000€",Postgrado o Doctorado,<18,39,13,10,189,62.903225806451616,20.967741935483872,16.129032258064516
Museo Sorolla,Femenino,">40,000€",Educación Primaria,<18,22,49,32,28,21.35922330097087,47.57281553398058,31.06796116504854
Museo Sorolla,Masculino,"20,000€ - 40,000€",Postgrado o Doctorado,<18,62,28,14,48,59.61538461538461,26.923076923076923,13.461538461538462
Museo Sorolla,Masculino,"<20,000€",Estudios Universitarios,>50,39,28,28,36,41.05263157894737,29.47368421052631,29.47368421052631
Museo Sorolla,Femenino,"20,000€ - 40,000€",Postgrado o Doctorado,>50,27,24,14,98,41.53846153846154,36.92307692307693,21.53846153846154
Museo Sorolla,Femenino,"20,000€ - 40,000€",Educación Primaria,36-50,41,46,29,23,35.3448275862069,39.6551724137931,25.0
Museo Sorolla,Femenino,"<20,000€",Estudios Universitarios,18-35,30,30,31,33,32.967032967032964,32.967032967032964,34.065934065934066
Museo Sorolla,Masculino,"<20,000€",Educación Primaria,18-35,59,14,12,13,69.41176470588235,16.470588235294116,14.117647058823529
Museo Sorolla,Masculino,"<20,000€",Estudios Universitarios,18-35,25,36,27,71,28.40909090909091,40.909090909090914,30.681818181818183
Museo Sorolla,Masculino,"20,000€ - 40,000€",Educación Secundaria,36-50,58,35,30,42,47.15447154471545,28.455284552845526,24.390243902439025
Museo Sorolla,Femenino,"20,000€ - 40,000€",Educación Secundaria,18-35,61,49,10,18,50.83333333333333,40.833333333333336,8.333333333333332
Museo Sorolla,Femenino,">40,000€",Educación Secundaria,36-50,27,18,35,190,33.75,22.5,43.75
Museo Sorolla,Femenino,">40,000€",Educación Secundaria,18-35,44,22,31,9,45.36082474226804,22.68041237113402,31.958762886597935
Museo Sorolla,Masculino,"<20,000€",Postgrado o Doctorado,<18,27,11,25,76,42.857142857142854,17.46031746031746,39.682539682539684
Museo Sorolla,Masculino,"20,000€ - 40,000€",Postgrado o Doctorado,18-35,38,10,25,122,52.054794520547944,13.698630136986301,34.24657534246575
Museo Sorolla,Masculino,">40,000€",Estudios Universitarios,<18,31,40,37,17,28.703703703703702,37.03703703703704,34.25925925925926
Museo Sorolla,Femenino,"<20,000€",Educación Secundaria,36-50,30,31,36,48,30.927835051546392,31.958762886597935,37.11340206185567
Museo Sorolla,Masculino,">40,000€",Educación Secundaria,>50,66,26,28,90,55.00000000000001,21.666666666666668,23.333333333333332
Museo Sorolla,Masculino,"20,000€ - 40,000€",Educación Primaria,18-35,52,20,32,62,50.0,19.230769230769234,30.76923076923077
