OBJECTID,NOMBRE,CALLE,NUM,LOCALIDAD,CODIGO-POSTAL,BARRIO,DISTRITO,TELEFONO,EMAIL,x,y
1,Casa Museo Lope de Vega,CERVANTES,11,MADRID,28014,CORTES,CENTRO,914 299 216,,440824.999970966,4473983.00012034
2,Casita - Museo del Ratón Pérez,ARENAL,8,MADRID,28013,SOL,CENTRO,915 226 968,info@casamuseoratonperez.es,440253.999977564,4474494.00010149
3,Castillo de la Alameda,ANTONIO SANCHA,1,MADRID,28042,ALAMEDA DE OSUNA,BARAJAS,"913 667 415                                                                         
",castilloalameda@madrid.es,449698.000021244,4478802.00008213
4,Casón del Buen Retiro,ALFONSO XII,28,MADRID,28014,LOS JERONIMOS,RETIRO,913 304 016 / 913 302 821,biblioteca@museodelprado.es,441635.000010087,4474285.00009444
5,Centro Social y Cultural La Casa Encendida,VALENCIA,2,MADRID,28012,EMBAJADORES,CENTRO,"902 430 322                                                                 
",lacasaencendida@montemadrid.es,440621.999970984,4473051.00009968
6,Ermita de San Antonio de la Florida (Museo),SAN ANTONIO DE LA FLORIDA,5,MADRID,28008,CASA DE CAMPO,MONCLOA-ARAVACA,915 420 722,sanantonio@madrid.es,438439.000031859,4475212.0001282
7,Espacio Fundación Telefónica,FUENCARRAL,3,MADRID,28004,UNIVERSIDAD,CENTRO,915 808 700 (información general) / 915 226 645 (visitas guiadas y talleres),,440590.000029872,4474865.00007363
8,Fundación AMYC (Arte Moderno y Contemporáneo). Casa - Museo Fuente del Rey,FUENTE DEL REY,11,MADRID,28023,ARAVACA,MONCLOA-ARAVACA,913 579 116,info@fundacionamyc.org,434662.999972624,4478596.00012654
9,Monasterio de las Descalzas Reales,DESCALZAS,3,MADRID,28013,SOL,CENTRO,"914 548 700                                                             
",,440197.000031719,4474626.00008402
10,Museo ABC,AMANIEL,29,MADRID,28015,UNIVERSIDAD,CENTRO,917 588 379,info_museo@abc.es,439921.999992804,4475646.00006967
11,Museo Africano Mundo Negro,ARTURO SORIA,101,MADRID,28043,SAN JUAN BAUTISTA,CIUDAD LINEAL,914 152 412,info@museoafricano.es,444755.000014007,4477849.00012943
12,Museo Arqueológico Nacional,SERRANO,13,MADRID,28001,RECOLETOS,SALAMANCA,"915 777 912                                                                     
                                                                                     
",,441711.000001755,4475173.00008745
