id;start_date;updated_date;survey_id;status;device_type;1_¿Qué museo acabas de visitar?;2_La recepción y atención al público;3_La información: paneles, folletos, cartelas ...;4_El confort, el orden y la limpieza en la visita;5_La adaptación a visitantes con discapacidad ;6_Teniendo en cuenta toda su experiencia, ¿cuál es su valoración global con la visita  en una escala de 0 a 10, siendo “0”, totalmente insatisfactoria y “10”, totalmente satisfactoria;7_Nos encantaría recibir sus observaciones, comentarios o recomendaciones para ayudarnos a mejorar el servicio;8_¿Cuál es su grupo de edad?;9_¿Cuál es su sexo?
37450270;2023-05-31 09:54:47;2023-05-31 09:55:20;311750;Completa;Mobile;Arte Contemporáneo;9;9;9;7;10;;De 41 a 65 años;
37450281;2023-05-31 09:56:51;2023-05-31 09:57:25;311750;Completa;Mobile;Historia de Madrid;9;9;7;7;8;;De 41 a 65 años;
37450382;2023-05-31 10:18:55;2023-05-31 10:19:24;311750;Completa;Mobile;Historia de Madrid;7;9;7;7;9;;De 18 a 25 años;
37465668;2023-06-01 09:58:36;2023-06-01 09:59:06;311750;Completa;Mobile;Imprenta Municipal - Artes del Libro;8;9;9;9;7;;De 26 a 40 años;Otro
37467717;2023-06-01 12:06:55;2023-06-01 12:07:20;311750;Completa;Desktop;Castillo de la Alameda;9;9;7;8;9;;De 66 o más años;
37691208;2023-06-16 10:04:00;2023-06-16 10:04:00;311750;Completa;Desktop;San Antonio de la Florida;8;;;;;;;
37691218;2023-06-16 10:04:47;2023-06-16 10:32:39;311750;Parcial;Desktop;Templo de Debod;;;;;;;De 66 o más años;
37691297;2023-06-16 10:21:37;2023-06-16 10:22:13;311750;Completa;Desktop;San Isidro. Los Orígenes de Madrid;;9;10;10;10;ff;De 18 a 25 años;
37691305;2023-06-16 10:22:26;2023-06-16 10:23:28;311750;Completa;Desktop;San Isidro. Los Orígenes de Madrid;7;10;9;9;9;bb;De 26 a 40 años;
37946542;2023-06-29 09:44:58;2023-06-29 09:51:22;311750;Completa;Desktop;Salas de Exposiciones Conde Duque;9;;10;;;;;
37946692;2023-06-29 10:23:20;2023-06-29 10:41:22;311750;Completa;Desktop;Imprenta Municipal - Artes del Libro;;;;;;;;
37975129;2023-07-03 15:16:58;2023-07-03 15:16:58;311750;Parcial;Desktop;;;;;;;;Menos de 18 años;
